row,id_decimal,deviation_decimal
0,316,2675
1,316,2675
2,316,2675
3,316,2675
4,316,2675
5,316,2675
6,316,2675
7,316,2675
8,316,2675
9,316,2675
10,316,2675
11,316,2675
12,316,2675
13,316,2675
14,316,2675
15,316,2675
16,316,2675
17,316,2675
18,316,2675
19,316,2675
20,316,2675
21,316,2675
22,316,2675
23,316,2675
24,316,2675
25,316,2675
26,316,2675
27,316,2675
28,316,2675
29,316,2675
30,316,2675
31,316,2675
32,316,2675
33,316,2675
34,316,2675
35,316,2675
36,316,2675
37,316,2675
38,316,2675
39,316,2675
40,316,2675
41,316,2675
42,316,2675
43,316,2675
44,316,2675
45,316,2675
46,316,2675
47,316,2675
48,316,2675
49,316,2675
50,316,2675
51,316,2675
52,316,2675
53,316,2675
54,316,2675
55,316,2675
56,316,2675
57,316,2675
58,316,2675
59,316,2675
60,316,2675
61,316,2675
62,316,2675
63,316,2675
64,316,2675
65,316,2675
66,316,2675
67,316,2675
68,316,2675
69,316,2675
70,316,2675
71,316,2675
72,316,2675
73,316,2675
74,316,2675
75,316,2675
76,316,2675
77,316,2675
78,316,2675
79,316,2675
80,316,2675
81,316,2675
82,316,2675
83,316,2675
84,316,2675
85,316,2675
86,316,2675
87,316,2675
88,316,2675
89,316,2675
90,316,2675
91,316,2675
92,316,2675
93,316,2675
94,316,2675
95,316,2675
96,316,2675
97,316,2675
98,316,2675
99,316,2675
100,316,2675
101,316,2675
102,316,2675
103,316,2675
104,316,2675
105,316,2675
106,316,2675
107,316,2675
108,316,2675
109,316,2675
110,316,2675
111,316,2675
112,316,2675
113,316,2675
114,316,2675
115,316,2675
116,316,2675
117,316,2675
118,316,2675
119,316,2675
120,316,2675
121,316,2675
122,316,2675
123,316,2675
124,316,2675
125,316,2675
126,316,2675
127,316,2675
128,316,2675
129,316,2675
130,316,2675
131,316,2675
132,316,2675
133,316,2675
134,316,2675
135,316,2675
136,316,2675
137,316,2675
138,316,2675
139,316,2675
140,316,2675
141,316,2675
142,316,2675
143,316,2675
144,316,2675
145,316,2675
146,316,2675
147,316,2675
148,316,2675
149,316,2675
150,316,2675
151,316,2675
152,316,2675
153,316,2675
154,316,2675
155,316,2675
156,316,2675
157,316,2675
158,316,2675
159,316,2675
160,316,2675
161,316,2675
162,316,2675
163,316,2675
164,316,2675
165,316,2675
166,316,2675
167,316,2675
168,316,2675
169,316,2675
170,316,2675
171,316,2675
172,316,2675
173,316,2675
174,316,2675
175,316,2675
176,316,2675
177,316,2675
178,316,2675
179,316,2675
180,316,2675
181,316,2675
182,316,2675
183,316,2675
184,316,2675
185,316,2675
186,316,2675
187,316,2675
188,316,2675
189,316,2675
190,316,2675
191,316,2675
192,316,2675
193,316,2675
194,316,2675
195,316,2675
196,316,2675
197,316,2675
198,316,2675
199,316,2675
200,316,2675
201,316,2675
202,316,2675
203,316,2675
204,316,2675
205,316,2675
206,316,2675
207,316,2675
208,316,2675
209,316,2675
210,316,2675
211,316,2675
212,316,2675
213,316,2675
214,316,2675
215,316,2675
216,316,2675
217,316,2675
218,316,2675
219,316,2675
220,316,2675
221,316,2675
222,316,2675
223,316,2675
224,316,2675
225,316,2675
226,316,2675
227,316,2675
228,316,2675
229,316,2675
230,316,2675
231,316,2675
232,316,2675
233,316,2675
234,316,2675
235,316,2675
236,316,2675
237,316,2675
238,316,2675
239,316,2675
240,316,2675
241,316,2675
242,316,2675
243,316,2675
244,316,2675
245,316,2675
246,316,2675
247,316,2675
248,316,2675
249,316,2675
250,316,2675
251,316,2675
252,316,2675
253,316,2675
254,316,2675
255,316,2675
256,316,2675
257,316,2675
258,316,2675
259,316,2675
260,316,2675
261,316,2675
262,316,2675
263,316,2675
264,316,2675
265,316,2675
266,316,2675
267,316,2675
